variable,n,media,std,min,q1,mediana,q3,max,%_ceros
sport,2540039,30534.5707,20442.1167,0.0,11226.0,31687.0,47439.0,65535.0,2.13
dsport,2539743,11235.0983,18438.2055,0.0,53.0,80.0,14970.0,65535.0,2.13
dur,2540047,0.6588,13.9249,0.0,0.001,0.0159,0.2146,8786.6377,0.33
sbytes,2540047,4339.6001,56405.9947,0.0,200.0,1470.0,3182.0,14355774.0,0.0
dbytes,2540047,36427.5937,161096.0355,0.0,178.0,1820.0,14894.0,14657531.0,19.69
sttl,2540047,62.782,74.6228,0.0,31.0,31.0,31.0,255.0,0.41
dttl,2540047,30.7668,42.8509,0.0,29.0,29.0,29.0,254.0,19.92
sloss,2540047,5.1639,22.5171,0.0,0.0,3.0,7.0,5319.0,41.23
dloss,2540047,16.3294,56.5947,0.0,0.0,4.0,14.0,5507.0,41.36
Sload,2540047,36956447.5089,118604331.2825,0.0,135396.2656,589303.75,2039922.75,5988000256.0,0.2
Dload,2540047,2450861.2163,4224862.9416,0.0,11915.9375,589317.875,2925973.5,128761904.0,19.71
Spkts,2540047,33.2888,76.2839,0.0,2.0,12.0,44.0,10646.0,0.0
Dpkts,2540047,42.7266,121.502,0.0,2.0,12.0,42.0,11018.0,19.69
swin,2540047,150.0887,125.4824,0.0,0.0,255.0,255.0,255.0,41.14
dwin,2540047,149.7459,125.5438,0.0,0.0,255.0,255.0,255.0,41.28
stcpb,2540047,1261701280.6217,1422026719.1774,0.0,0.0,639725026.0,2467159621.0,4294958913.0,41.25
dtcpb,2540047,1261766463.3286,1422139125.9758,0.0,0.0,638417164.0,2469410644.0,4294953724.0,41.27
smeansz,2540047,124.2536,151.9162,0.0,60.0,73.0,132.0,1504.0,0.0
dmeansz,2540047,276.6719,335.6166,0.0,69.0,89.0,565.0,1500.0,19.69
trans_depth,2540047,0.0833,0.35,0.0,0.0,0.0,0.0,172.0,91.92
res_bdy_len,2540047,4242.1178,47500.526,0.0,0.0,0.0,0.0,6558056.0,92.65
Sjit,2540047,1589.0367,16910.3633,0.0,0.0,19.1249,413.7935,1483830.875,37.93
Djit,2540047,730.0755,3438.5584,0.0,0.0,2.6536,63.5086,781221.125,35.43
Stime,2540047,1423260752.8712,1134448.5358,1421927377.0,1421952193.0,1424226977.0,1424245007.0,1424262068.0,0.0
Ltime,2540047,1423260753.6362,1134448.3357,1421927414.0,1421952196.0,1424226978.0,1424245008.0,1424262069.0,0.0
Sintpkt,2540047,193.3225,2779.1631,0.0,0.009,0.4683,7.3514,84371.4922,0.06
Dintpkt,2540047,78.8248,1433.1914,0.0,0.006,0.4148,6.2021,59485.3203,19.71
tcprtt,2540047,0.0062,0.0462,0.0,0.0,0.0006,0.0007,10.0375,41.54
synack,2540047,0.0033,0.0259,0.0,0.0,0.0005,0.0006,4.5253,41.54
ackdat,2540047,0.0029,0.0239,0.0,0.0,0.0001,0.0001,5.5122,41.55
ct_state_ttl,2540047,0.2612,0.6831,0.0,0.0,0.0,0.0,6.0,85.75
ct_flw_http_mthd,1191902,0.2346,0.7941,0.0,0.0,0.0,0.0,36.0,38.85
ct_ftp_cmd,1110168,0.047,0.2766,0.0,0.0,0.0,0.0,8.0,41.99
ct_srv_src,2540047,9.207,10.8368,1.0,2.0,5.0,10.0,67.0,0.0
ct_srv_dst,2540047,8.989,10.8225,1.0,2.0,5.0,10.0,67.0,0.0
ct_dst_ltm,2540047,6.4391,8.162,1.0,2.0,3.0,6.0,67.0,0.0
ct_src_ ltm,2540047,6.901,8.2051,1.0,2.0,4.0,7.0,67.0,0.0
ct_src_dport_ltm,2540047,4.6421,8.4776,1.0,1.0,1.0,2.0,67.0,0.0
ct_dst_sport_ltm,2540047,3.5927,6.1744,1.0,1.0,1.0,1.0,60.0,0.0
ct_dst_src_ltm,2540047,6.8459,11.2583,1.0,1.0,2.0,5.0,67.0,0.0
