columna,eta2
sttl,0.835448539866576
ct_state_ttl,0.7767505157135389
ct_dst_src_ltm,0.3238670925033285
dttl,0.3072876554942628
ct_dst_sport_ltm,0.3008340850228908
ct_srv_dst,0.2901800588465216
ct_srv_src,0.28303422913897847
ct_src_dport_ltm,0.27443779420910264
ct_dst_ltm,0.23789368715146572
ct_src_ ltm,0.22553072570802624
swin,0.13322853607758098
dwin,0.1324062395522664
tcprtt,0.1045604118085675
ackdat,0.09160649230618848
synack,0.08973408556442314
dmeansz,0.07887724360481488
Stime,0.07759162848338653
Ltime,0.07759162262292237
dtcpb,0.07327438273211137
stcpb,0.07324249120633401
dsport,0.049003926358533845
Dload,0.04840736565090315
Sload,0.04114565022684132
sport,0.029543951820997512
smeansz,0.024414359155733815
Spkts,0.015923239998155203
Sjit,0.013995874730313074
Dpkts,0.013830197079432952
ct_flw_http_mthd,0.012414531494682112
dloss,0.009452943743308113
dur,0.009320183006284325
trans_depth,0.007817492178137628
sloss,0.0062735008381128035
dbytes,0.0058730621860196485
sbytes,0.004421610797120043
ct_ftp_cmd,0.0038640792436074444
Djit,0.0034382245360795737
res_bdy_len,0.0008239923189486264
Sintpkt,0.0005512995462459599
Dintpkt,0.0004940889470453195
