variable,n,media,mediana,varianza,min,max,%_ceros
sport,2540039,30534.5707,31687.0,417880133.1941,0.0,65535.0,2.13
dsport,2539743,11235.0983,80.0,339967421.6827,0.0,65535.0,2.13
dur,2540047,0.6588,0.0159,193.9037,0.0,8786.6377,0.33
sbytes,2540047,4339.6001,1470.0,3181636235.9423,0.0,14355774.0,0.0
dbytes,2540047,36427.5937,1820.0,25951932667.4555,0.0,14657531.0,19.69
sttl,2540047,62.782,31.0,5568.5571,0.0,255.0,0.41
dttl,2540047,30.7668,29.0,1836.1986,0.0,254.0,19.92
sloss,2540047,5.1639,3.0,507.0187,0.0,5319.0,41.23
dloss,2540047,16.3294,4.0,3202.9651,0.0,5507.0,41.36
Sload,2540047,36956447.5089,589303.75,1.4066987398974674e+16,0.0,5988000256.0,0.2
Dload,2540047,2450861.2163,589317.875,17849466874896.78,0.0,128761904.0,19.71
Spkts,2540047,33.2888,12.0,5819.2308,0.0,10646.0,0.0
Dpkts,2540047,42.7266,12.0,14762.7272,0.0,11018.0,19.69
swin,2540047,150.0887,255.0,15745.835,0.0,255.0,41.14
dwin,2540047,149.7459,255.0,15761.2561,0.0,255.0,41.28
stcpb,2540047,1261701280.6217,639725026.0,2.0221599900543337e+18,0.0,4294958913.0,41.25
dtcpb,2540047,1261766463.3286,638417164.0,2.0224796936311163e+18,0.0,4294953724.0,41.27
smeansz,2540047,124.2536,73.0,23078.5339,0.0,1504.0,0.0
dmeansz,2540047,276.6719,89.0,112638.5186,0.0,1500.0,19.69
trans_depth,2540047,0.0833,0.0,0.1225,0.0,172.0,91.92
res_bdy_len,2540047,4242.1178,0.0,2256299966.8225,0.0,6558056.0,92.65
Sjit,2540047,1589.0367,19.1249,285960386.5432,0.0,1483830.875,37.93
Djit,2540047,730.0755,2.6536,11823683.6742,0.0,781221.125,35.43
Stime,2540047,1423260752.8712,1424226977.0,1286973480358.5266,1421927377.0,1424262068.0,0.0
Ltime,2540047,1423260753.6362,1424226978.0,1286973026277.2979,1421927414.0,1424262069.0,0.0
Sintpkt,2540047,193.3225,0.4683,7723747.5635,0.0,84371.4922,0.06
Dintpkt,2540047,78.8248,0.4148,2054037.6843,0.0,59485.3203,19.71
tcprtt,2540047,0.0062,0.0006,0.0021,0.0,10.0375,41.54
synack,2540047,0.0033,0.0005,0.0007,0.0,4.5253,41.54
ackdat,2540047,0.0029,0.0001,0.0006,0.0,5.5122,41.55
ct_state_ttl,2540047,0.2612,0.0,0.4666,0.0,6.0,85.75
ct_flw_http_mthd,1191902,0.2346,0.0,0.6306,0.0,36.0,38.85
ct_ftp_cmd,1110168,0.047,0.0,0.0765,0.0,8.0,41.99
ct_srv_src,2540047,9.207,5.0,117.4353,1.0,67.0,0.0
ct_srv_dst,2540047,8.989,5.0,117.1263,1.0,67.0,0.0
ct_dst_ltm,2540047,6.4391,3.0,66.6188,1.0,67.0,0.0
ct_src_ ltm,2540047,6.901,4.0,67.323,1.0,67.0,0.0
ct_src_dport_ltm,2540047,4.6421,1.0,71.8693,1.0,67.0,0.0
ct_dst_sport_ltm,2540047,3.5927,1.0,38.1238,1.0,60.0,0.0
ct_dst_src_ltm,2540047,6.8459,2.0,126.7489,1.0,67.0,0.0
