columna,outliers_IQR,%_outliers,%_ceros
Sload,563157,22.17,0.2
ct_src_dport_ltm,533566,21.01,0.0
Sjit,473263,18.63,37.93
Dintpkt,453642,17.86,19.71
dur,451297,17.77,0.33
Sintpkt,446036,17.56,0.06
ct_dst_src_ltm,415534,16.36,0.0
Djit,413969,16.3,35.43
ct_dst_ltm,362838,14.28,0.0
dsport,352582,13.88,2.13
Dload,344566,13.57,19.71
ct_src_ ltm,336932,13.26,0.0
ct_srv_src,313946,12.36,0.0
ct_srv_dst,310732,12.23,0.0
dbytes,301908,11.89,19.69
sbytes,287942,11.34,0.0
sloss,203863,8.03,41.23
smeansz,169166,6.66,0.0
Dpkts,150493,5.92,19.69
Spkts,142681,5.62,0.0
dloss,129009,5.08,41.36
ackdat,125200,4.93,41.55
tcprtt,112171,4.42,41.54
synack,111218,4.38,41.54
dmeansz,25587,1.01,19.69
dttl,0,0.0,19.92
sport,0,0.0,2.13
sttl,0,0.0,0.41
dwin,0,0.0,41.28
swin,0,0.0,41.14
stcpb,0,0.0,41.25
trans_depth,0,0.0,91.92
Stime,0,0.0,0.0
res_bdy_len,0,0.0,92.65
dtcpb,0,0.0,41.27
Ltime,0,0.0,0.0
ct_flw_http_mthd,0,0.0,82.79
ct_state_ttl,0,0.0,85.75
ct_ftp_cmd,0,0.0,96.07
ct_dst_sport_ltm,0,0.0,0.0
